Strategy,Sharpe,Fitness,Turnover,Max Drawdown
"CVXPYRegimeUtil(mw=0.02,lb=240,k=2.0,rs=5.0,hl=90)",+2.551,5.230,0.140,-0.065
"CVXPYRegimeUtil(mw=0.03,lb=280,k=2.0,rs=5.0,hl=90)",+2.548,5.225,0.160,-0.070
"CVXPYRegimeUtil(mw=0.02,lb=240,k=2.0,rs=3.0,hl=90)",+2.541,5.198,0.140,-0.065
"CVXPYRegimeUtil(mw=0.03,lb=280,k=2.0,rs=3.0,hl=90)",+2.537,5.186,0.161,-0.070
"CVXPYLedoitSharpe(mw=0.02,lb=280,l2=0.05,hl=90)",+2.536,5.078,0.146,-0.065
"CVXPYLedoitSharpe(mw=0.02,lb=280,l2=0.01,hl=90)",+2.536,5.078,0.146,-0.065
"CVXPYLedoitSharpe(mw=0.02,lb=280,l2=0.001,hl=90)",+2.536,5.079,0.146,-0.065
"CVXPYRegimeUtil(mw=0.02,lb=240,k=1.0,rs=5.0,hl=90)",+2.533,5.175,0.140,-0.065
"CVXPYRegimeUtil(mw=0.03,lb=280,k=1.0,rs=5.0,hl=90)",+2.530,5.163,0.161,-0.069
"KellyOptimal(mw=0.02,lb=280,kf=0.3,hl=90)",+2.529,5.094,0.143,-0.065
"KellyOptimal(mw=0.02,lb=280,kf=0.5,hl=90)",+2.529,5.094,0.143,-0.065
"KellyOptimal(mw=0.02,lb=280,kf=0.7,hl=90)",+2.529,5.094,0.143,-0.065
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=280,n=5)",+2.527,4.551,0.232,-0.081
"CVXPYRegimeUtil(mw=0.03,lb=280,k=2.0,rs=2.0,hl=90)",+2.524,5.142,0.161,-0.069
"CVXPYRegimeUtil(mw=0.03,lb=280,k=1.0,rs=2.0,hl=90)",+2.521,5.133,0.161,-0.069
"MinVarBayesian(mw=0.02,lb=280,hl=90)",+2.521,4.776,0.162,-0.041
"CVXPYRegimeUtil(mw=0.03,lb=280,k=1.0,rs=3.0,hl=90)",+2.520,5.128,0.161,-0.069
"CVXPYRegimeUtil(mw=0.02,lb=240,k=2.0,rs=2.0,hl=90)",+2.519,5.133,0.140,-0.065
"QPOptimal(mw=0.02,lb=120,rb=60)",+2.519,4.283,0.195,-0.065
