Strategy,Sharpe,Fitness,TO,DD
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=280,n=7)",5.305,14.814,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=280,n=7)",5.305,14.814,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=280,n=7)",5.305,14.814,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=280,n=7)",5.305,14.814,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=280,n=7)",5.305,14.814,0.215,-0.055
"CorrSelect(mw=0.02,mc=0.5,n=7)",5.292,12.847,0.221,-0.050
"CorrSelect(mw=0.02,mc=0.5,n=7)",5.292,12.847,0.221,-0.050
"CorrSelect(mw=0.02,mc=0.5,n=7)",5.292,12.847,0.221,-0.050
"CorrSelect(mw=0.02,mc=0.5,n=7)",5.292,12.847,0.221,-0.050
"CorrSelect(mw=0.02,mc=0.5,n=7)",5.292,12.847,0.221,-0.050
"CorrSelect(mw=0.02,mc=0.5,n=7)",5.292,12.847,0.221,-0.050
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=180,n=13)",5.289,14.482,0.223,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=180,n=13)",5.289,14.482,0.223,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=180,n=13)",5.289,14.482,0.223,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=180,n=13)",5.289,14.482,0.223,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=180,n=13)",5.289,14.482,0.223,-0.063
"CorrSelect(mw=0.05,mc=0.5,n=9)",5.285,13.139,0.269,-0.053
"CorrSelect(mw=0.05,mc=0.5,n=9)",5.285,13.139,0.269,-0.053
"CorrSelect(mw=0.05,mc=0.5,n=9)",5.285,13.139,0.269,-0.053
"CorrSelect(mw=0.05,mc=0.5,n=9)",5.285,13.139,0.269,-0.053
"CorrSelect(mw=0.05,mc=0.5,n=9)",5.285,13.139,0.269,-0.053
"CorrSelect(mw=0.05,mc=0.5,n=9)",5.285,13.139,0.269,-0.053
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=280,n=9)",5.279,14.154,0.228,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=280,n=9)",5.279,14.154,0.228,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=280,n=9)",5.279,14.154,0.228,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=280,n=9)",5.279,14.154,0.228,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=280,n=9)",5.279,14.154,0.228,-0.062
"CorrSelect(mw=0.03,mc=0.5,n=7)",5.278,12.788,0.257,-0.042
"CorrSelect(mw=0.03,mc=0.5,n=7)",5.278,12.788,0.257,-0.042
"CorrSelect(mw=0.03,mc=0.5,n=7)",5.278,12.788,0.257,-0.042
"CorrSelect(mw=0.03,mc=0.5,n=7)",5.278,12.788,0.257,-0.042
"CorrSelect(mw=0.03,mc=0.5,n=7)",5.278,12.788,0.257,-0.042
"CorrSelect(mw=0.03,mc=0.5,n=7)",5.278,12.788,0.257,-0.042
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=240,n=9)",5.274,14.129,0.228,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=240,n=9)",5.274,14.129,0.228,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=240,n=9)",5.274,14.129,0.228,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=240,n=9)",5.274,14.129,0.228,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=240,n=9)",5.274,14.129,0.228,-0.063
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=240,n=7)",5.239,14.123,0.197,-0.046
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=240,n=7)",5.239,14.123,0.197,-0.046
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=240,n=7)",5.239,14.123,0.197,-0.046
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=240,n=7)",5.239,14.123,0.197,-0.046
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=240,n=7)",5.239,14.123,0.197,-0.046
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=280,n=7)",5.222,13.960,0.198,-0.045
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=280,n=7)",5.222,13.960,0.198,-0.045
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=280,n=7)",5.222,13.960,0.198,-0.045
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=280,n=7)",5.222,13.960,0.198,-0.045
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=280,n=7)",5.222,13.960,0.198,-0.045
"CorrSelect(mw=0.05,mc=0.6,n=13)",5.204,12.961,0.266,-0.047
"CorrSelect(mw=0.05,mc=0.6,n=13)",5.204,12.961,0.266,-0.047
"CorrSelect(mw=0.05,mc=0.6,n=13)",5.204,12.961,0.266,-0.047
"CorrSelect(mw=0.05,mc=0.6,n=13)",5.204,12.961,0.266,-0.047
"CorrSelect(mw=0.05,mc=0.6,n=13)",5.204,12.961,0.266,-0.047
"CorrSelect(mw=0.05,mc=0.6,n=13)",5.204,12.961,0.266,-0.047
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=180,n=9)",5.204,14.172,0.230,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=180,n=9)",5.204,14.172,0.230,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=180,n=9)",5.204,14.172,0.230,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=180,n=9)",5.204,14.172,0.230,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=180,n=9)",5.204,14.172,0.230,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=280,n=9)",5.183,14.112,0.229,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=280,n=9)",5.183,14.112,0.229,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=280,n=9)",5.183,14.112,0.229,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=280,n=9)",5.183,14.112,0.229,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=280,n=9)",5.183,14.112,0.229,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=240,n=13)",5.171,14.060,0.223,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=240,n=13)",5.171,14.060,0.223,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=240,n=13)",5.171,14.060,0.223,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=240,n=13)",5.171,14.060,0.223,-0.062
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=240,n=13)",5.171,14.060,0.223,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=240,n=9)",5.158,13.993,0.229,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=240,n=9)",5.158,13.993,0.229,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=240,n=9)",5.158,13.993,0.229,-0.063
