id,expression,is_sharpe,is_fitness,ic_mean,turnover,min_sub_sr,pnl_kurtosis,rolling_sr_std,pnl_skew,h1_sr,h2_sr,n_gates_pass,all_pass,g_is_sharpe,g_fitness,g_ic,g_stable,g_turnover,g_sub_sr,g_kurtosis,g_roll_std,g_skew
87,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), Decay_exp(momentum_60d, 24)), 6)",4.114671302843163,12.409472439037128,-0.018946604626142144,0.24886528399177674,0.0,5.299643198689179,0.045627915488000166,0.7349197896759395,0.0,4.231640443830988,7,False,True,True,True,False,True,False,True,True,True
88,"stddev(df_min(df_min(Abs(momentum_20d), rank(upper_shadow)), ts_kurtosis(volume, 120)), 6)",4.145895005551892,11.977062248737601,-0.014418934130197522,0.2786015987823835,4.29525194955713,8.240380521838855,0.03330821751278089,0.44634842074796083,6.099433464361986,4.29525194955713,9,True,True,True,True,True,True,True,True,True,True
89,"correlation(multiply(multiply(multiply(dollars_traded, high), multiply(volume_ratio_20d, high)), multiply(delay(beta_to_btc, 180), ts_rank(returns, 90))), sqrt(zscore_cs(momentum_20d)), 30)",3.5270670028548334,9.023208767340334,-0.0022902165788579606,0.25234825432281266,0.0,6.81311782937327,0.049612054938255344,0.7940656814297145,0.0,3.6938703961670067,7,False,True,True,True,False,True,False,True,True,True
90,"multiply(ts_zscore(multiply(historical_volatility_20, close), 240), add(rank(momentum_5d), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, adv20))))",3.263409828273531,10.944362443292187,-0.00886989286540826,0.18992314109366873,2.229013635020742,10.282396008545582,0.04756479703159675,0.14553493109040833,2.229013635020742,3.3437368124314086,9,True,True,True,True,True,True,True,True,True,True
91,"multiply(df_min(sma(sma(momentum_20d, 18), 48), df_min(sma(volume_momentum_1, 18), Decay_lin(momentum_20d, 18))), add(rank(momentum_5d), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, adv20))))",4.679427801587042,16.129879949619617,0.0009268110349379699,0.21699374589401943,0.0,8.457308926245876,0.040871351620563996,0.7069422292605683,0.0,4.857853407403595,7,False,True,True,True,False,True,False,True,True,True
92,"multiply(df_min(sma(sma(volume_momentum_1, 18), 240), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, adv20))), add(rank(momentum_20d), df_min(ts_rank(volume, 24), df_min(momentum_20d, adv20))))",5.328442970051057,18.881261729189497,-0.01584631270331907,0.24079481858921137,5.4065012684301035,9.169207022196321,0.048924878983004065,0.7265111393770893,9.584010268081466,5.4065012684301035,9,True,True,True,True,True,True,True,True,True,True
93,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(volume_ratio_20d, 36)), 6)",4.391060353359413,12.837386460071256,-0.011719623128364819,0.26588196525622504,-4.09436752373342,13.302671006732037,0.03155508027242433,0.5693115453620126,-4.09436752373342,4.606296693198552,7,False,True,True,True,False,True,False,True,True,True
94,"stddev(df_max(ts_skewness(open, 180), df_max(add(momentum_20d, momentum_5d), add(vwap_deviation, momentum_20d))), 6)",3.3705221623294124,9.985125972825218,-0.012347206873824597,0.2674727563070532,3.4083548111551663,12.166897143143881,0.04657688491079802,0.7664361764627508,7.822710865935772,3.4083548111551663,9,True,True,True,True,True,True,True,True,True,True
95,"multiply(df_min(sma(sma(momentum_5d, 24), 48), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, adv20))), add(rank(momentum_5d), df_min(ts_rank(volume, 18), df_min(momentum_20d, adv20))))",3.631071824772208,10.77330436465189,-0.004895214924760124,0.27075436753801413,-3.3777042363459238,13.016151058780626,0.03623179928354151,1.0964632984120457,-3.3777042363459238,3.848456392336462,7,False,True,True,True,False,True,False,True,True,True
96,"stddev(df_max(correlation(beta_to_btc, historical_volatility_10, 180), df_max(add(momentum_20d, momentum_5d), add(vwap_deviation, momentum_20d))), 6)",3.602593760167583,14.256449144261666,-0.013676067166635622,0.17390488914213856,3.510676914171864,11.402801602146813,0.03987822196295559,0.8049470387253849,5.46397726019122,3.510676914171864,9,True,True,True,True,True,True,True,True,True,True
