date,pnl_dollars,pnl_bps_equity,equity_curve,drawdown_dollars
2023-11-15,1535.0813359173042,139.5528487197549,1536312.2049634063,0.0
2023-11-16,780.6420786070036,70.96746169154578,1537092.8470420134,0.0
2023-11-17,1243.8094870652553,113.07358973320503,1538336.6565290787,0.0
2023-11-20,1164.7592315134327,105.88720286485751,1539501.415760592,0.0
2023-11-21,-1055.0989106639702,-95.91808278763365,1538446.3168499281,-1055.0989106639754
2023-11-22,-933.931421490614,-84.90285649914672,1537512.3854284375,-1989.0303321545944
2023-11-24,-1202.069206789385,-109.27901879903499,1536310.3162216481,-3191.099538943963
2023-11-27,4190.919898179528,380.9927180163207,1540501.2361198277,0.0
2023-11-28,915.1196526836294,83.19269569851176,1541416.3557725113,0.0
2023-11-29,922.1841566739885,83.83492333399896,1542338.5399291853,0.0
2023-11-30,4578.539101431333,416.23082740284843,1546917.0790306167,0.0
2023-12-01,899.0754282405326,81.73412984004841,1547816.1544588571,0.0
2023-12-04,-135.148501777815,-12.286227434346818,1547681.0059570794,-135.14850177778862
2023-12-05,-714.7411452823405,-64.97646775294004,1546966.264811797,-849.8896470600739
2023-12-06,3131.8895593500524,284.71723266818657,1550098.154371147,0.0
2023-12-07,-1501.9337919822472,-136.53943563474974,1548596.2205791648,-1501.9337919822428
2023-12-08,4246.868396950293,386.0789451772993,1552843.088976115,0.0
2023-12-11,-1115.4872353561102,-101.4079304869191,1551727.6017407589,-1115.4872353561223
2023-12-12,2686.870445330497,244.26094957549975,1554414.4721860893,0.0
2023-12-13,-577.9851349582827,-52.5441031780257,1553836.487051131,-577.9851349582896
2023-12-14,93.5967187914556,8.508792617405055,1553930.0837699224,-484.38841616688296
2023-12-15,4022.806791489974,365.7097083172704,1557952.8905614123,0.0
2023-12-18,3403.586762365005,309.41697839681865,1561356.4773237773,0.0
2023-12-19,2227.2822527117723,202.4802047919793,1563583.759576489,0.0
2023-12-20,538.1262261587727,48.92056601443389,1564121.8858026478,0.0
2023-12-21,-1902.2235411174988,-172.92941282886352,1562219.6622615303,-1902.223541117506
2023-12-22,-2126.029402312047,-193.27540021018606,1560093.6328592182,-4028.2529434296302
2023-12-26,-963.157783706233,-87.55979851874845,1559130.475075512,-4991.410727135837
2023-12-27,209.47142054862658,19.042856413511508,1559339.9464960606,-4781.939306587214
2023-12-28,1678.1408013206028,152.55825466550934,1561018.0872973811,-3103.7985052666627
2023-12-29,3849.329308201964,349.9390280183604,1564867.4166055832,0.0
2024-01-02,1085.9994580179618,98.72722345617835,1565953.4160636012,0.0
2024-01-03,-1317.8891174586217,-119.80810158714742,1564635.5269461425,-1317.8891174586024
2024-01-04,-344.0301205001144,-31.275465500010398,1564291.4968256424,-1661.919237958733
2024-01-05,2493.7060469865964,226.70054972605422,1566785.202872629,0.0
2024-01-08,-3374.191611725488,-306.7446919750444,1563411.0112609034,-3374.191611725604
2024-01-09,1877.5729282214043,170.68844802012765,1565288.5841891249,-1496.6186835041735
2024-01-10,596.9423937927237,54.26749034479306,1565885.5265829177,-899.6762897113804
2024-01-11,-1193.1746223820783,-108.47042021655257,1564692.3519605356,-2092.8509120934177
2024-01-12,2075.603856640801,188.69125969461828,1566767.9558171765,-17.24705545254983
2024-01-16,255.23093729231277,23.20281248111934,1567023.1867544688,0.0
2024-01-17,563.8213878353133,51.2564898032103,1567587.0081423041,0.0
2024-01-18,1350.0784138156378,122.73440125596707,1568937.0865561198,0.0
2024-01-19,203.81197175075158,18.528361068250145,1569140.8985278707,0.0
2024-01-22,296.7731940829789,26.979381280270808,1569437.6717219537,0.0
2024-01-23,232.76431482876603,21.16039225716055,1569670.4360367823,0.0
2024-01-24,-410.32308261839245,-37.302098419853856,1569260.112954164,-410.32308261841536
2024-01-25,-228.033509237825,-20.730319021620456,1569032.079444926,-638.35659185634
2024-01-26,3887.61251948713,353.41931995337546,1572919.691964413,0.0
2024-01-29,-280.1986334823138,-25.47260304384671,1572639.4933309308,-280.19863348221406
2024-01-30,-1199.9453322674062,-109.08593929703693,1571439.5479986635,-1480.1439657495357
2024-01-31,-695.645761742423,-63.24052379476573,1570743.902236921,-2175.789727492025
2024-02-01,325.7439766020302,29.613088782002748,1571069.646213523,-1850.0457508899271
2024-02-02,1880.980343720559,170.99821306550535,1572950.6265572438,0.0
2024-02-05,1316.9377141157229,119.72161037415663,1574267.5642713595,0.0
2024-02-06,-1433.1321107167391,-130.28473733788536,1572834.4321606427,-1433.132110716775
2024-02-07,5128.503513205944,466.2275921096313,1577962.9356738487,0.0
2024-02-08,-2112.554027689735,-192.05036615361226,1575850.381646159,-2112.554027689621
